"tax1","tax2","value"
"SRR9008118-int-124-Car-littleb","SRR9008232-xAdR-134-Bra-bigB",0.0152034324435033
"SRR9008232-xAdR-134-Bra-bigB","SRR9008166-int-125-Car-littleb",0.0152034324435033
"SRR9008232-xAdR-134-Bra-bigB","SRR9008118-int-124-Car-littleb",0.0152034324435033
"SRR9008158-sae-47-Bel-bigB","GCa3-11-bigB-p",0.0148496742677171
"GCa3-11-bigB-p","SRR9008158-sae-47-Bel-bigB",0.0148496742677171
"SRR9008167-meg-127-BZ-littleb","SRR9008232-xAdR-134-Bra-bigB",0.0147689888490788
"SRR9008232-xAdR-134-Bra-bigB","SRR9008167-meg-127-BZ-littleb",0.0147689888490788
"SRR9008158-sae-47-Bel-bigB","SRR9008197-ric-96-Ros-bigB",0.0145863871994685
"SRR9008197-ric-96-Ros-bigB","SRR9008158-sae-47-Bel-bigB",0.0145863871994685
"GCa3-11-bigB-p","SRR9008136-ric-74-Ros-littleb",0.0143955366179051
"SRR9008136-ric-74-Ros-littleb","GCa3-11-bigB-p",0.0143955366179051
"SRR9008232-xAdR-134-Bra-bigB","SRR9008163-inv-225-Mis-littleb",0.0143950810786086
"SRR9008163-inv-225-Mis-littleb","SRR9008232-xAdR-134-Bra-bigB",0.0143950810786086
"SRR9008167-meg-127-BZ-littleb","SRR9008197-ric-96-Ros-bigB",0.0134030415277684
"SRR9008197-ric-96-Ros-bigB","SRR9008167-meg-127-BZ-littleb",0.0134030415277684
"SRR9008168-xAdR-135-Pos-littleb","SRR9008197-ric-96-Ros-bigB",0.0125305353107023
"SRR9008197-ric-96-Ros-bigB","SRR9008168-xAdR-135-Pos-littleb",0.0125305353107023
"SRR9008214-meg-130-BZ-bigB","SRR9008197-ric-96-Ros-bigB",0.012501286837607
"SRR9008197-ric-96-Ros-bigB","SRR9008214-meg-130-BZ-bigB",0.012501286837607
"Lad4-1-bigB-m-majorityallele","SRR9008158-sae-47-Bel-bigB",0.0119950575197274
"SRR9008158-sae-47-Bel-bigB","Lad4-1-bigB-m-majorityallele",0.0119950575197274
"SRR9008158-sae-47-Bel-bigB","SRR9008168-xAdR-135-Pos-littleb",0.0112449018773095
"SRR9008168-xAdR-135-Pos-littleb","SRR9008158-sae-47-Bel-bigB",0.0112449018773095
"SRR9008158-sae-47-Bel-bigB","SRR9008232-xAdR-134-Bra-bigB",0.0107537541116086
"SRR9008232-xAdR-134-Bra-bigB","SRR9008158-sae-47-Bel-bigB",0.0107537541116086
"SRR9008158-sae-47-Bel-bigB","SRR9008217-int-122-Car-bigB",0.0105464961672588
"SRR9008217-int-122-Car-bigB","SRR9008158-sae-47-Bel-bigB",0.0105464961672588
"SRR9008158-sae-47-Bel-bigB","SRR9008166-int-125-Car-littleb",0.0104520145494071
"SRR9008158-sae-47-Bel-bigB","SRR9008118-int-124-Car-littleb",0.0104520145494071
"SRR9008166-int-125-Car-littleb","SRR9008158-sae-47-Bel-bigB",0.0104520145494071
"SRR9008118-int-124-Car-littleb","SRR9008158-sae-47-Bel-bigB",0.0104520145494071
"SRR9008232-xAdR-134-Bra-bigB","GCa8-9-littleb-p",0.00965792586120428
"GCa8-9-littleb-p","SRR9008232-xAdR-134-Bra-bigB",0.00965792586120428
"SRR9008214-meg-130-BZ-bigB","SRR9008136-ric-74-Ros-littleb",0.00920430029628184
"SRR9008136-ric-74-Ros-littleb","SRR9008214-meg-130-BZ-bigB",0.00920430029628184
"SRR9008214-meg-130-BZ-bigB","GCa3-9-littleb-p",0.00907923815995156
"GCa3-9-littleb-p","SRR9008214-meg-130-BZ-bigB",0.00907923815995156
"SRR9008158-sae-47-Bel-bigB","SRR9008275-inv-223-Cor-bigB",0.00876054792508033
"SRR9008275-inv-223-Cor-bigB","SRR9008158-sae-47-Bel-bigB",0.00876054792508033
"SRR9008217-int-122-Car-bigB","SRR9008118-int-124-Car-littleb",0.00850049743475556
"SRR9008118-int-124-Car-littleb","SRR9008217-int-122-Car-bigB",0.00850049743475556
"SRR9008158-sae-47-Bel-bigB","GCa3-9-littleb-p",0.00833203616174596
"SRR9008158-sae-47-Bel-bigB","SRR9008136-ric-74-Ros-littleb",0.00833203616174596
"GCa3-9-littleb-p","SRR9008158-sae-47-Bel-bigB",0.00833203616174596
"SRR9008136-ric-74-Ros-littleb","SRR9008158-sae-47-Bel-bigB",0.00833203616174596
"SRR9008275-inv-223-Cor-bigB","GCa8-9-littleb-p",0.00747184250167624
"GCa8-9-littleb-p","SRR9008275-inv-223-Cor-bigB",0.00747184250167624
"SRR9008158-sae-47-Bel-bigB","SRR9008163-inv-225-Mis-littleb",0.0067159598703522
"SRR9008163-inv-225-Mis-littleb","SRR9008158-sae-47-Bel-bigB",0.0067159598703522
"SRR9008158-sae-47-Bel-bigB","GCa8-9-littleb-p",0.0051724670043076
"GCa8-9-littleb-p","SRR9008158-sae-47-Bel-bigB",0.0051724670043076
"SRR9008158-sae-47-Bel-bigB","SRR9008167-meg-127-BZ-littleb",0.00447386164334665
"SRR9008167-meg-127-BZ-littleb","SRR9008158-sae-47-Bel-bigB",0.00447386164334665
"Lad4-1-bigB-m-majorityallele","SRR9008217-int-122-Car-bigB",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008166-int-125-Car-littleb",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008118-int-124-Car-littleb",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008214-meg-130-BZ-bigB",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008167-meg-127-BZ-littleb",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","GCa3-9-littleb-p",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","GCa3-11-bigB-p",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008168-xAdR-135-Pos-littleb",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008232-xAdR-134-Bra-bigB",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008136-ric-74-Ros-littleb",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008197-ric-96-Ros-bigB",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008163-inv-225-Mis-littleb",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","SRR9008275-inv-223-Cor-bigB",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","GCa8-9-littleb-p",0.000453507606596689
"SRR9008217-int-122-Car-bigB","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008166-int-125-Car-littleb","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008118-int-124-Car-littleb","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008214-meg-130-BZ-bigB","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008167-meg-127-BZ-littleb","Lad4-1-bigB-m-majorityallele",0.000453507606596689
