triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008167_meg-127-BZ-littleb,SRR9008167_meg-127-BZ-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_GCa8-9-littleb-p,Lad4-1-bigB-m-majorityallele,0.0,2.725999999999966,0.35572366851945303,0.644276331480547,0.0005000000000000063,0.0011196960784313726,-1189.9536343280586,-1177.4934169514754,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_GCa8-9-littleb-p,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_GCa8-9-littleb-p,GCa8-9-littleb-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_GCa3-9-littleb-p,Lad4-1-bigB-m-majorityallele,0.0,2.3943054142285294,0.42780694700294963,0.5721930529970504,0.0006198039695274885,0.0012364757281553404,-1168.289046906101,-1168.6362317496896,103
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_GCa3-9-littleb-p,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_GCa3-9-littleb-p,GCa3-9-littleb-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008136_ric-74-Ros-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7125767596587416,0.3605836774508547,0.6394163225491453,0.0005113219358903941,0.0011483106796116504,-1193.331919276781,-1183.8747295285564,103
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008136_ric-74-Ros-littleb,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008136_ric-74-Ros-littleb,SRR9008136_ric-74-Ros-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008118_int-124-Car-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7419999999999733,0.35110285021529086,0.648897149784709,0.0005000000000000049,0.0011159705882352942,-1196.2250905483681,-1178.1733042663445,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008118_int-124-Car-littleb,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008118_int-124-Car-littleb,SRR9008118_int-124-Car-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008166_int-125-Car-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7419999999999733,0.35110285021529086,0.648897149784709,0.0005000000000000049,0.0011159705882352942,-1196.2250905483681,-1178.1733042663445,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008166_int-125-Car-littleb,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008166_int-125-Car-littleb,SRR9008166_int-125-Car-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008217_int-122-Car-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.3399999999999994,0.7538901142799624,0.24610988572003767,0.0005000000000000001,0.0006768105263157894,-1187.4651063279325,-1192.088770486367,95
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008217_int-122-Car-bigB,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
